dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,date,reserveUSD,totalSupply,token0.name,token0.totalLiquidity,token1.name,token1.totalLiquidity,priceUSD
58235365.265759,77035.572758292697549043,58137032.36927949424111951396393759,2021-01-02 00:00:00,148311819.8622367367304415187138704,2.024080670822815309,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,775.3145470709969168650930675429555
125317798.187851,139527.542151090644739636,125107697.8463614869263968486959724,2021-01-03 00:00:00,163442168.1009048366047623559595084,1.984043389110131832,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,975.9260163513460450868486890759849
186225206.745034,184014.011155257276492008,186084478.4448002286550242601263099,2021-01-04 00:00:00,202788624.7607029525467395061435112,2.37632346484828854,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1040.41733250879698135198395032191
129371690.320298,121773.569066850888009087,129035718.1892910254172780044681419,2021-01-05 00:00:00,213668169.8331699983924444583139773,2.429922315429866808,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1101.743835588448240357620915989441
120111327.33197,104766.202785393903720608,119962416.0226970291963242032503678,2021-01-06 00:00:00,226123006.7767164083350653804199418,2.445916328632360439,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1210.474342328727274877178154724958
114156068.162092,93595.346393637692771793,114075472.7933077595719362375153851,2021-01-07 00:00:00,233026913.7596712425024992750841783,2.505063228459695851,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1221.68432271028633339676045540273
146893609.510853,123575.017578033988211643,146858207.6323070675001731100826104,2021-01-08 00:00:00,233282485.8907539310285353502107217,2.50680420199010051,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1218.588417951225949368630856339548
80740088.406018,65902.373258610908496705,80683535.90092826500401230105239115,2021-01-09 00:00:00,233661146.0486998095197492317291622,2.445499584531453692,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1283.256884131632510399257519118098
134384794.484494,104637.85930973318202164,134283795.8490228206908630425271957,2021-01-10 00:00:00,231919480.1092697728525800210234426,2.442696910891657086,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1259.743164654006005770786985168967
317769857.744835,302051.78386605960253022,318044882.5658571216803718829171287,2021-01-11 00:00:00,220921870.2455540420107853417225576,2.495056174264171004,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1088.253022137701912587784675677617
129480624.080187,120182.243665135669671689,129498907.9936388712814511237224646,2021-01-12 00:00:00,221881874.5099792777369962910053812,2.549235296118074979,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1046.005815519000331803675961281608
93840536.700175,88501.578471973333249837,93845317.50404544345877079009174967,2021-01-13 00:00:00,234041445.569406022472099669924752,2.588270598198498678,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1128.354543712579578759136910226235
91882292.502099,78125.361718426747127681,91849035.88270276681106086082874594,2021-01-14 00:00:00,246002196.7012968962312240465338552,2.605848544830279391,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1225.864584947348262687801936310545
141212352.236453,120022.061703427814522664,141285206.9975231514931970356313968,2021-01-15 00:00:00,248964345.4213396675616856224703036,2.694326789173924394,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1170.101407864539097508318444459811
102590654.989165,83841.256765759124358011,102578094.1671638590869819449018903,2021-01-16 00:00:00,263952192.3121934200369858941573776,2.781063193805694548,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1232.231464216576582876475422604467
92131074.002289,75490.895325835599082417,92131637.98819486338386540121655257,2021-01-17 00:00:00,264758666.287522293447265076264161,2.789035291564538447,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1229.977898472526947816164399461102
77253124.992734,63085.541037820233783733,77273000.72987771661125950587234008,2021-01-18 00:00:00,269141325.5514755028324591863865637,2.802907490170139232,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1255.893575973334019114421592429052
174792332.203302,127412.200633279889960308,174949006.3981101471105408728326915,2021-01-19 00:00:00,257261767.7895089583573179198688338,2.555297696148129403,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1374.809870379923056124069847339803
137291215.047333,103941.848906623762675364,137344493.7179173620004925599089564,2021-01-20 00:00:00,258550809.2521937649872441421817063,2.561546286689026009,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1378.749089474629604817017920612641
197377311.970558,162089.541401582473170672,197506598.965167111730864195922252,2021-01-21 00:00:00,226176965.1070046787260382458766587,2.483250836010616778,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1115.421753089764567656584562254647
178035052.661292,153246.933383671612726138,177867850.6742918094880442233649741,2021-01-22 00:00:00,269400288.3216178799207706681193828,2.807196087822472335,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1235.143596377582147949206251312714
116228123.917386,93675.725568421796233292,116230970.5550631460899797219482509,2021-01-23 00:00:00,283890664.5651469538160489571150311,2.960226629429092689,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1229.559266001848954403111133412516
99055263.892239,74779.430468815327394546,98949417.14368228633341668453391518,2021-01-24 00:00:00,304600567.8597445812400424159501352,2.978903349173715988,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1394.646310416331029700766298159022
148647590.874438,106482.71956185145312036,148658365.8483879134191834852120952,2021-01-25 00:00:00,296532019.4731180553170723020658897,2.97455417139896538,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1320.482331230494460507455385182386
128291881.424633,97303.196604159250651793,128282611.3200617255793052211968581,2021-01-26 00:00:00,310798582.520053022298316448532362,3.069645341924769978,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1362.270710017054135073036344720446
143431897.861376,112804.340942622768080934,143398804.7134073490770340684576477,2021-01-27 00:00:00,300254712.5169398669211528913599788,3.092202544497346947,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1244.135196105608759869374891785532
101379120.36037,77376.437402101980967435,101293386.6481237626078887908699596,2021-01-28 00:00:00,307890524.6456767238106333451179679,3.064483474673698264,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1333.124079469421949352846432033462
168484412.332336,123232.224737161076803565,168285470.0089741672529237129885826,2021-01-29 00:00:00,311608596.349279084800426761488591,3.04047495162299503,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1383.573281576338241868574883066208
70841230.942424,52079.012771943099649749,70838116.04345511401506550085422864,2021-01-30 00:00:00,302212436.7651157147619986041854012,2.951649955566162769,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1377.102787255119866789433625171875
79885046.556527,60198.693472675834030953,79939166.4131364638780426024385333,2021-01-31 00:00:00,290483511.0666755626553171818987572,2.90010321459975792,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1313.289145891625894443946448109981
82436848.616641,62467.382934306333928734,82433743.36476212957796681970860046,2021-02-01 00:00:00,295978122.8628700251492211414998698,2.891666519949695294,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1370.761683609194908427900707433978
115557952.43384,79811.237338620468971734,115478338.2526885974924484532595452,2021-02-02 00:00:00,298416789.1802769805639082099978213,2.772140537131616621,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1514.760169195885065580718860496022
99285706.167545,62729.00332377146535902,99241427.58280500424774496060605419,2021-02-03 00:00:00,314620974.9010742975050663552021978,2.787331833536674073,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1663.923265257387991638540639858274
153991061.292973,94102.319186288153606239,153967897.0174760333356977199222607,2021-02-04 00:00:00,302548687.170394234152209125222293,2.727560625260185282,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1596.803736114961310655405037662801
103891217.53087,61662.226150227017795048,103898475.6301660370565838023957605,2021-02-05 00:00:00,314703766.6251081011708365614430201,2.733514504727904594,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1718.616997620120780598108260330842
99362349.383367,58943.89600027849109908,99353211.76058263482379515209635943,2021-02-06 00:00:00,292250240.3712706582137296430746094,2.569331814376513436,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1678.762938418572682651215638529146
117530615.084187,73892.150119306802497816,117552156.7529768623924860341855136,2021-02-07 00:00:00,281523620.4556748368246818783896789,2.516094817692306921,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1618.520631192303147686365752003037
113739499.359632,67684.040297379463233561,113625693.5159725366422848816404387,2021-02-08 00:00:00,298162369.1614842911258515059671574,2.560933324955946171,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1746.480620557524422583178087507208
103542711.031776,59097.520795877471587769,103527498.0956446966777634184544928,2021-02-09 00:00:00,301953417.4392724194237316574148066,2.573426054722110722,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1770.351017399433414897771319871627
102020097.62451,57907.798728760086573704,102006292.8707155355430398902170368,2021-02-10 00:00:00,302552730.6746715567659063708353555,2.594366543554191517,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1746.226153472484905203196831395675
86560856.015866,48981.049335179376468978,86559912.41579183060633729507113498,2021-02-11 00:00:00,312213608.6405215436168137616129721,2.648623715006071584,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1781.793191518175877043990077697018
92154468.395902,51313.542788792129210658,92174042.32693250454248550325432661,2021-02-12 00:00:00,318416800.8210809984024867685988507,2.65404223099898456,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1840.215919442589250280947688194045
97381325.869845,53616.385286912546545733,97383235.42511353532771986285670401,2021-02-13 00:00:00,316827205.7605012257338416811332672,2.661173149558138253,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1810.995955018996479563779151193224
77039822.444843,42339.966382801295323113,77017001.0847234831803438249253434,2021-02-14 00:00:00,348578832.3140441031076536717775482,2.930278245730145283,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1806.437044916018034744192348880796
135957348.731721,77283.400794550307727135,135965160.2039252426088935597633923,2021-02-15 00:00:00,345982439.6713842921661456686943776,2.925794544996172143,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1776.61593511819362062447575788258
94865762.316959,53415.342017831784256893,94874085.16214273054134976033538336,2021-02-16 00:00:00,345581888.4223433332139712326700293,2.920111361456187225,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1778.385977989830228407667070555293
105153451.928428,58565.22847966562372471,105215939.0626012720211695231053602,2021-02-17 00:00:00,354049178.1344991456552139657743638,2.931164408222864283,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1847.210785507228143677116605306308
111422979.898751,58454.048260515587217073,111478994.3531662766213395586683776,2021-02-18 00:00:00,361283548.4038988147879295246707818,2.921803631556454533,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1933.217600622163172420979925884174
97179813.794126,50182.741208207593741128,97207606.87476178032303933404388945,2021-02-19 00:00:00,362670039.2311638868485471176122966,2.911540232672623356,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1956.85179886437373393176840467334
126493393.062565,64011.615580844359697807,126552542.9309836886658648254871277,2021-02-20 00:00:00,357675800.9067195637549691552197903,2.90219404135572491,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1915.195005431063118104250617535181
106355306.766886,54736.089957257963256107,106284013.9969167678259456946963407,2021-02-21 00:00:00,336804382.6862532550576411903957772,2.719818458488943965,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1928.373983301102380026240395124755
252891931.330355,143097.756394107590378785,252599601.228565030624230253515301,2021-02-22 00:00:00,222336512.8113556023775879821768851,1.865095861088737231,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1778.00949574954197038732124047794
352986813.513499,231784.680609706461542066,353041653.0496169981032955463202205,2021-02-23 00:00:00,206628306.7408650774974554754700565,1.836015523598447999,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1569.943356276967276941581330808798
162065707.803915,99625.609098034072586051,162042036.5652947662957947113884745,2021-02-24 00:00:00,214863649.3079581454785537275337191,1.87138929890314634,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1622.130622519012734874285180308713
121793169.906577,76758.414258979289702845,121852146.6104183933510184579312106,2021-02-25 00:00:00,205457250.4828705110446626074339098,1.87959055406879517,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1479.167204176220534037270351685325
154075879.458725,104674.796398342252070768,154113550.0319147501663784315138546,2021-02-26 00:00:00,150209800.232098409789952998160137,1.381332207894454595,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1441.894039772400857154966707608776
83842163.348305,56483.726159004294193346,83823174.42088050011166165507308777,2021-02-27 00:00:00,167127859.6621093561322769525224886,1.527224518163785751,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1461.161760894954764135013893499029
179875191.284096,131530.417721940535528516,179855669.608921735125027684489637,2021-02-28 00:00:00,245805832.7872686326239077336057278,2.271157161566909602,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1419.13257450192394188567105344773
118147868.313139,78962.266639166506006806,118029108.2128618332757469333382539,2021-03-01 00:00:00,269158368.890543032581085008646673,2.361563423960706303,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1567.601616884822635273813034091803
97803601.691826,63735.366178474092882147,97758149.75857178725974855573080323,2021-03-02 00:00:00,238715578.3814959673662338704577584,2.146010435597635925,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1491.024724243690058451040272323521
88746331.695801,55997.949057507297964635,88719550.73636314119791084920455896,2021-03-03 00:00:00,237692890.1365542849752867881429995,2.075276469890979368,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1573.220406068399130523662474155964
94312238.644692,60668.820024702114772149,94324542.12558501542284940322563495,2021-03-04 00:00:00,237326621.5036861095458016794167987,2.093970187095631811,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1535.92761515632524075493361075751
120226608.59808,81010.879117529117809568,120241943.1116665634284950032267901,2021-03-05 00:00:00,237658168.2666420134765395641452195,2.104198405791164298,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1529.073726356420044092450412957032
69826417.880157,44080.12911668143636265,69798383.2181986008385616243150172,2021-03-06 00:00:00,251786675.6110884574436075631662529,2.140063081455937749,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1652.329171204599172114131792919252
84912807.166053,50945.986958955286170395,84878337.28737493050532447879944908,2021-03-07 00:00:00,257558659.6846335468118090823156283,2.138356631683125201,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1729.568979140013210393028206922103
113526925.803991,65519.612719162191864449,113638956.2007667406879348432942715,2021-03-08 00:00:00,268856442.8885163867337977631608495,2.163132042687784112,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1832.945376652155710850633808342259
93847268.537364,51335.469985627849095092,93839483.73040201912319869536767137,2021-03-09 00:00:00,275231358.703081600244790227432423,2.192190836820222285,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1868.583525890820444706005236479758
86852974.041711,47813.304232909291554656,86847606.92160515698526037998162536,2021-03-10 00:00:00,272578052.5408255264239497803317347,2.209784701016674983,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1800.537162760140882500928432656207
90346339.609479,50572.985920846418213143,90467656.53091814233740772990924463,2021-03-11 00:00:00,276128780.5714405177092473787979017,2.220274355693297648,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1824.529513912912314334525876382178
89095543.898021,50262.843756903731334125,89098258.18963327690965264164498261,2021-03-12 00:00:00,273260966.3083529842107110147773151,2.230360515793019646,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1768.273750965904341029486051021167
96574746.745742,52243.494367721453263326,96577964.19787928795695680271896371,2021-03-13 00:00:00,281653812.9377162372168010391193494,2.199197838100903464,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1927.312134985216619336359998757469
73724782.742519,39180.15808457853028376,73711748.05518733851512484816940921,2021-03-14 00:00:00,278730541.4866913744609381736193003,2.21674213021814224,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1853.547346202426263032980095981678
104750892.620725,58300.009333946357074654,104745277.8414027195126271500468219,2021-03-15 00:00:00,272664935.0807461537766410520353936,2.206832362702288006,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1788.391246229672238382572548587071
93099101.520167,52446.839883624941773997,93076721.49168268239635001850847063,2021-03-16 00:00:00,256252038.4053338470207660472996615,2.063981588808764671,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1800.959099352766319389534366540411
69275902.479592,38767.136826506903531432,69267018.5051357664859237346421326,2021-03-17 00:00:00,258486092.0081602215699308160231287,2.064694781685893094,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1823.507178500705186808021123525388
71223888.197785,39481.471044039330666029,71250780.2636935293881747398383678,2021-03-18 00:00:00,255248362.571769697664766238323282,2.06602584822993373,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1778.85098684165670662065331690169
70128820.800616,38952.820364375255344467,70146013.76464571751965469177423651,2021-03-19 00:00:00,259846705.7044863424251817764992592,2.084609793197092864,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1807.604599743042580599887514821981
63842527.683771,34828.728089006806559601,63858237.1637230913618566174018157,2021-03-20 00:00:00,260393498.1802259932547739537743754,2.086782574891695886,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1809.114106230393504908287830192406
63150427.912384,35390.320097271102951618,63175577.36892024518803103221809512,2021-03-21 00:00:00,265176928.3348195461494869650828205,2.139313224711611055,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1782.08782062251704977974663309068
123826975.291118,71027.67944286233779362,123874329.5563187667113299196922235,2021-03-22 00:00:00,261838190.5904928555116492897578376,2.170016965018078488,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1681.385896035168720904385196787517
110098609.832714,65149.297185566723452689,110108791.2107771489993607896237707,2021-03-23 00:00:00,232999864.4492175511562899818490727,1.934692951871285971,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1669.038945313620122863467425866961
140860705.615538,85692.028204386579293201,140947581.2030555604533151376379904,2021-03-24 00:00:00,240308389.8294275928893676127588065,2.043965883810636747,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1584.718635648443968446502491914845
109724504.538875,69061.844664458402985129,109730966.9060855045695039509965776,2021-03-25 00:00:00,238311464.5102204161310069108282199,2.02121996763884277,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1591.091067572618258889175345571963
82488438.626382,50254.234927212876474222,82507244.40486888694637272032792377,2021-03-26 00:00:00,252486332.4287368050430367680735678,2.073935300079809082,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1696.799547067369474670851739818491
59259349.024339,34920.213339570789910913,59274120.38564035783368283194454413,2021-03-27 00:00:00,268660184.3592176241256373358903212,2.189942757983578853,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1716.946129907537226514524692700341
59442900.830037,35036.78511743631208489,59464443.05663102864302893696974509,2021-03-28 00:00:00,268238211.5767025284563773153033321,2.205878072579470258,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1685.849087781564682409518674835839
117760344.106822,65813.566512292549041132,117490795.7086423509798275760204368,2021-03-29 00:00:00,276026715.9221136710751371042272511,2.185055343680602568,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1813.626857813313826974108690242228
78212534.877494,42774.38863061673518548,78197780.13588448648983481522077762,2021-03-30 00:00:00,277757689.1675096874077836403856693,2.180290603080333256,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1838.830339466855887000257501980257
103798349.489455,55586.641037794645201812,103752197.2888337302689959670858926,2021-03-31 00:00:00,288775860.4447359416131516784599315,2.220146535931331092,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1918.342815322769807789338501669373
93454238.354144,48260.543347735254299752,93474533.56467854687102437009224179,2021-04-01 00:00:00,282061213.3683849439191715618014511,2.133963151800116592,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1972.425951181143917787588157017523
105131897.390953,51476.580664962239651119,105226596.9084309809135803606455909,2021-04-02 00:00:00,303050465.6912191397502226512020495,2.203025565423725013,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2132.028808049444014009787533571761
123681389.310458,59714.309403762717659878,124003916.5509132051082300408868489,2021-04-03 00:00:00,294333083.3516504644370357759223434,2.199788496789556959,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2012.023138698471297481206165264354
65869567.950549,32175.646913501408228146,65898355.4379597937707919365056784,2021-04-04 00:00:00,295935159.4080108858226729660530693,2.178126253174172784,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2068.667966592383792400983235586566
63825261.868553,30733.38015675623809813,63854712.54883748951349719227010549,2021-04-05 00:00:00,299002770.6349367012285065386900473,2.186112346406190698,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2099.880098882945711293688014341482
84711502.696485,40158.638744775408104609,84725584.01928870150005894047756689,2021-04-06 00:00:00,302852434.1911567946835183304690573,2.204592448387275015,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2114.022839055910349682076268892729
117233833.619255,58338.3881660860655499,117345853.6114226383571813464257674,2021-04-07 00:00:00,293234923.7138107402544987618198284,2.214244920088280433,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1963.336308846843227815018264364638
74434953.610006,36734.111369736238417384,74463120.73116594316786232184807931,2021-04-08 00:00:00,281486171.5001367427458487304815655,2.063602466058074852,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,2076.632254561638855064597526752317
